,applicant_job_title,official_record_job_title,status,rule
0,jr,lead data science,True,Rule 6 (Invalid title)
1,database,middle n/a,True,Rule 6 (Invalid title)
2,senior testing,lead data science,True,Rule 6 (Invalid title)
3,senior hr,lead hr,True,Rule 3 (Exact / near match)
4,senior database,sr network security engineer,True,Rule 6 (Invalid title)
5,jr dotnet developer,trainee n/a,True,Rule 6 (Invalid title)
6,blockchain,middle devops engineer,True,Rule 6 (Invalid title)
7,lead data science,trainee arts,True,Rule 6 (Invalid title)
8,network security engineer,junior health fitness,True,Rule 6 (Invalid title)
9,intern,sr blockchain,True,Rule 6 (Invalid title)
10,advocate,junior,True,Rule 6 (Invalid title)
11,advocate,senior,True,Rule 6 (Invalid title)
12,developer,blockchain,True,Rule 6 (Invalid title)
13,senior business analyst,intern health fitness,True,Rule 6 (Invalid title)
14,senior data science,mid hr,True,Rule 6 (Invalid title)
15,sr testing,trainee data science,True,Rule 6 (Invalid title)
16,database,intern operations manager,True,Rule 6 (Invalid title)
17,jr blockchain,mid blockchain,True,Rule 3 (Exact / near match)
18,lead data science,lead health fitness,True,Rule 6 (Invalid title)
19,mid blockchain,lead business analyst,True,Rule 6 (Invalid title)
20,senior database,senior hr,True,Rule 6 (Invalid title)
21,intern devops engineer,trainee blockchain,True,Rule 6 (Invalid title)
22,senior developer,lead web designing,True,Rule 6 (Invalid title)
23,sales,advocate,True,Rule 6 (Invalid title)
24,jr n/a,jr testing,True,Rule 6 (Invalid title)
25,intern,lead sales,True,Rule 6 (Invalid title)
26,middle health fitness,mid web designing,True,Rule 6 (Invalid title)
27,senior developer,junior arts,True,Rule 6 (Invalid title)
28,jr hr,lead operations manager,True,Rule 6 (Invalid title)
29,senior web designing,sr blockchain,True,Rule 6 (Invalid title)
30,middle automation testing,lead devops engineer,True,Rule 6 (Invalid title)
31,blockchain,middle sales,True,Rule 6 (Invalid title)
32,testing,lead n/a,True,Rule 6 (Invalid title)
33,mid dotnet developer,junior automation testing,True,Rule 6 (Invalid title)
34,developer,lead n/a,True,Rule 6 (Invalid title)
35,middle blockchain,trainee developer,True,Rule 6 (Invalid title)
36,middle health fitness,trainee developer,True,Rule 6 (Invalid title)
37,senior health fitness,middle devops engineer,True,Rule 6 (Invalid title)
38,arts,jr database,True,Rule 6 (Invalid title)
39,intern health fitness,junior automation testing,True,Rule 6 (Invalid title)
40,junior operations manager,lead operations manager,True,Rule 3 (Exact / near match)
41,jr business analyst,middle blockchain,True,Rule 6 (Invalid title)
42,mid advocate,trainee health fitness,True,Rule 6 (Invalid title)
43,health fitness,jr civil engineer,True,Rule 6 (Invalid title)
44,lead network security engineer,trainee data science,True,Rule 6 (Invalid title)
45,middle sales,junior,True,Rule 6 (Invalid title)
46,mid,lead sales,True,Rule 6 (Invalid title)
47,jr developer,sr data science,True,Rule 6 (Invalid title)
48,automation testing,senior web designing,True,Rule 6 (Invalid title)
49,arts,mid operations manager,True,Rule 6 (Invalid title)
50,senior advocate,lead blockchain,True,Rule 6 (Invalid title)
51,middle,lead,True,Rule 3 (Exact / near match)
52,health fitness,middle web designing,True,Rule 6 (Invalid title)
53,senior data science,mid mechanical engineer,True,Rule 6 (Invalid title)
54,blockchain,jr business analyst,True,Rule 6 (Invalid title)
55,mid dotnet developer,lead web designing,True,Rule 6 (Invalid title)
56,senior developer,junior automation testing,True,Rule 6 (Invalid title)
57,intern civil engineer,trainee sales,True,Rule 6 (Invalid title)
58,mid sales,junior web designing,True,Rule 6 (Invalid title)
59,jr n/a,sr devops engineer,True,Rule 6 (Invalid title)
60,mid web designing,trainee automation testing,True,Rule 6 (Invalid title)
61,middle blockchain,mid sales,True,Rule 6 (Invalid title)
62,senior sales,intern network security engineer,True,Rule 6 (Invalid title)
63,senior health fitness,junior data science,True,Rule 6 (Invalid title)
64,automation testing,mid blockchain,True,Rule 6 (Invalid title)
65,jr automation testing,sr advocate,True,Rule 6 (Invalid title)
66,junior testing,lead civil engineer,True,Rule 6 (Invalid title)
67,senior hr,lead dotnet developer,True,Rule 6 (Invalid title)
68,jr n/a,junior mechanical engineer,True,Rule 6 (Invalid title)
69,intern network security engineer,trainee web designing,True,Rule 6 (Invalid title)
70,mid dotnet developer,sr arts,True,Rule 6 (Invalid title)
71,senior network security engineer,sr,True,Rule 6 (Invalid title)
72,trainee database,trainee developer,True,Rule 6 (Invalid title)
73,senior business analyst,lead business analyst,True,Rule 3 (Exact / near match)
74,middle hr,trainee operations manager,True,Rule 6 (Invalid title)
75,devops engineer,senior hr,True,Rule 6 (Invalid title)
76,senior dotnet developer,mid database,True,Rule 6 (Invalid title)
77,advocate,junior health fitness,True,Rule 6 (Invalid title)
78,middle data science,trainee database,True,Rule 6 (Invalid title)
79,mid automation testing,junior automation testing,True,Rule 3 (Exact / near match)
80,senior health fitness,lead n/a,True,Rule 6 (Invalid title)
81,civil engineer,middle health fitness,True,Rule 6 (Invalid title)
82,senior sales,lead sales,True,Rule 3 (Exact / near match)
83,middle data science,lead,True,Rule 6 (Invalid title)
84,senior web designing,senior network security engineer,True,Rule 6 (Invalid title)
85,sr mechanical engineer,sr blockchain,True,Rule 6 (Invalid title)
86,mid n/a,junior automation testing,True,Rule 6 (Invalid title)
87,intern health fitness,sr health fitness,True,Rule 3 (Exact / near match)
88,jr data science,sr data science,True,Rule 3 (Exact / near match)
89,senior health fitness,mid sales,True,Rule 6 (Invalid title)
90,jr dotnet developer,trainee testing,True,Rule 6 (Invalid title)
91,senior devops engineer,mid hr,True,Rule 6 (Invalid title)
92,lead,trainee automation testing,True,Rule 6 (Invalid title)
93,senior mechanical engineer,sr mechanical engineer,True,Rule 3 (Exact / near match)
94,intern web designing,junior data science,True,Rule 6 (Invalid title)
95,mid automation testing,mid developer,True,Rule 6 (Invalid title)
96,mid,lead civil engineer,True,Rule 6 (Invalid title)
97,senior business analyst,junior arts,True,Rule 6 (Invalid title)
98,jr dotnet developer,sr hr,True,Rule 6 (Invalid title)
99,sr blockchain,trainee sales,True,Rule 6 (Invalid title)
100,sr n/a,sr civil engineer,True,Rule 6 (Invalid title)
101,testing,intern automation testing,True,Rule 6 (Invalid title)
102,arts,sr operations manager,True,Rule 6 (Invalid title)
103,jr,intern mechanical engineer,True,Rule 6 (Invalid title)
104,jr hr,mid testing,True,Rule 6 (Invalid title)
105,jr n/a,senior data science,True,Rule 6 (Invalid title)
106,intern,junior data science,True,Rule 6 (Invalid title)
107,n/a,junior network security engineer,True,Rule 6 (Invalid title)
108,mid arts,mid blockchain,True,Rule 6 (Invalid title)
109,mid data science,intern civil engineer,True,Rule 6 (Invalid title)
110,intern operations manager,lead blockchain,True,Rule 6 (Invalid title)
111,junior automation testing,junior developer,True,Rule 6 (Invalid title)
112,senior n/a,sr automation testing,True,Rule 6 (Invalid title)
113,lead developer,trainee arts,True,Rule 6 (Invalid title)
114,sales,lead sales,True,Rule 3 (Exact / near match)
115,jr sales,mid hr,True,Rule 6 (Invalid title)
116,junior blockchain,lead hr,True,Rule 6 (Invalid title)
117,senior health fitness,junior web designing,True,Rule 6 (Invalid title)
118,middle health fitness,middle blockchain,True,Rule 6 (Invalid title)
119,jr,lead mechanical engineer,True,Rule 6 (Invalid title)
120,middle sales,junior n/a,True,Rule 6 (Invalid title)
121,intern database,trainee civil engineer,True,Rule 6 (Invalid title)
122,jr devops engineer,sr n/a,True,Rule 6 (Invalid title)
123,intern civil engineer,trainee testing,True,Rule 6 (Invalid title)
124,,intern web designing,True,Rule 6 (Invalid title)
125,senior mechanical engineer,lead data science,True,Rule 6 (Invalid title)
126,sr health fitness,junior,True,Rule 6 (Invalid title)
127,jr health fitness,mid mechanical engineer,True,Rule 6 (Invalid title)
128,sr operations manager,lead automation testing,True,Rule 6 (Invalid title)
129,blockchain,trainee civil engineer,True,Rule 6 (Invalid title)
130,middle web designing,lead arts,True,Rule 6 (Invalid title)
131,trainee web designing,trainee hr,True,Rule 6 (Invalid title)
132,jr blockchain,intern sales,True,Rule 6 (Invalid title)
133,trainee database,trainee arts,True,Rule 6 (Invalid title)
134,mid database,sr business analyst,True,Rule 6 (Invalid title)
135,jr n/a,mid network security engineer,True,Rule 6 (Invalid title)
136,lead sales,lead data science,True,Rule 6 (Invalid title)
137,junior automation testing,trainee network security engineer,True,Rule 6 (Invalid title)
138,,operations manager,True,Rule 6 (Invalid title)
139,middle hr,trainee mechanical engineer,True,Rule 6 (Invalid title)
140,sr arts,junior blockchain,True,Rule 6 (Invalid title)
141,business analyst,jr data science,True,Rule 6 (Invalid title)
142,jr,trainee business analyst,True,Rule 6 (Invalid title)
143,mid sales,mid advocate,True,Rule 6 (Invalid title)
144,middle advocate,sr,True,Rule 6 (Invalid title)
145,senior arts,junior devops engineer,True,Rule 6 (Invalid title)
146,devops engineer,junior devops engineer,True,Rule 3 (Exact / near match)
147,senior arts,trainee mechanical engineer,True,Rule 6 (Invalid title)
148,health fitness,jr devops engineer,True,Rule 6 (Invalid title)
149,network security engineer,mid hr,True,Rule 6 (Invalid title)
150,sr data science,junior hr,True,Rule 6 (Invalid title)
151,automation testing,jr n/a,True,Rule 6 (Invalid title)
152,junior health fitness,trainee testing,True,Rule 6 (Invalid title)
153,jr business analyst,sr business analyst,True,Rule 3 (Exact / near match)
154,jr database,middle sales,True,Rule 6 (Invalid title)
155,sr sales,lead network security engineer,True,Rule 6 (Invalid title)
156,lead automation testing,lead network security engineer,True,Rule 6 (Invalid title)
157,jr civil engineer,senior database,True,Rule 6 (Invalid title)
158,senior health fitness,mid data science,True,Rule 6 (Invalid title)
159,junior n/a,trainee data science,True,Rule 6 (Invalid title)
160,intern,lead developer,True,Rule 6 (Invalid title)
161,senior sales,trainee data science,True,Rule 6 (Invalid title)
162,lead sales,lead database,True,Rule 6 (Invalid title)
163,jr blockchain,lead civil engineer,True,Rule 6 (Invalid title)
164,middle data science,middle arts,True,Rule 6 (Invalid title)
165,mid civil engineer,trainee data science,True,Rule 6 (Invalid title)
166,mid database,intern arts,True,Rule 6 (Invalid title)
167,intern dotnet developer,lead arts,True,Rule 6 (Invalid title)
168,junior database,lead hr,True,Rule 6 (Invalid title)
169,intern n/a,trainee web designing,True,Rule 6 (Invalid title)
170,jr web designing,intern mechanical engineer,True,Rule 6 (Invalid title)
171,senior devops engineer,junior automation testing,True,Rule 6 (Invalid title)
172,senior database,trainee sales,True,Rule 6 (Invalid title)
173,n/a,lead civil engineer,True,Rule 6 (Invalid title)
174,middle mechanical engineer,intern sales,True,Rule 6 (Invalid title)
175,business analyst,intern database,True,Rule 6 (Invalid title)
176,lead blockchain,trainee,True,Rule 6 (Invalid title)
177,senior dotnet developer,sr blockchain,True,Rule 6 (Invalid title)
178,senior business analyst,trainee health fitness,True,Rule 6 (Invalid title)
179,sales,jr data science,True,Rule 6 (Invalid title)
180,automation testing,mid data science,True,Rule 6 (Invalid title)
181,devops engineer,trainee blockchain,True,Rule 6 (Invalid title)
182,senior dotnet developer,middle blockchain,True,Rule 6 (Invalid title)
183,civil engineer,sr testing,True,Rule 6 (Invalid title)
184,advocate,sr sales,True,Rule 6 (Invalid title)
185,middle n/a,trainee web designing,True,Rule 6 (Invalid title)
186,automation testing,mid web designing,True,Rule 6 (Invalid title)
187,junior web designing,junior n/a,True,Rule 6 (Invalid title)
188,senior arts,intern database,True,Rule 6 (Invalid title)
189,senior developer,lead blockchain,True,Rule 6 (Invalid title)
190,sr data science,sr civil engineer,True,Rule 6 (Invalid title)
191,senior web designing,intern dotnet developer,True,Rule 6 (Invalid title)
